time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/value_loss,eval/mean_reward,eval/mean_ep_length
103424,12.0,11.890859779999998,101,241,427,0.2,0.0003,0.040049731731414795,1000,-0.0020692547186627053,0.0035832436,0.0259765625,-0.2814183128066361,0.9959362745285034,0.10441874312236905,,
104448,12.0,11.765980560000003,102,244,426,0.2,0.0003,0.034636661410331726,1010,-0.001223548359121196,0.0016258619,0.016796875,-0.27711797747761013,0.996412456035614,0.09266719056759029,,
105000,,,,,,0.2,0.0003,0.04517291858792305,1020,-0.0014789694891078398,0.001919537,0.0224609375,-0.28244740385562184,0.9970356822013855,0.07669540846254677,11.837156649999999,12.0
105472,12.0,11.784315629999998,103,246,427,,,,,,,,,,,,
106496,12.0,11.85180878,104,249,426,0.2,0.0003,0.04949574917554855,1030,-0.002469218097394332,0.0025690317,0.03447265625,-0.2784304800443351,0.9959557056427002,0.10437268065288663,,
107520,12.0,11.887628200000002,105,251,427,0.2,0.0003,0.02776801958680153,1040,-0.0019875715268426577,0.0024065166,0.0318359375,-0.28609620947390796,0.9966315627098083,0.08878074423409998,,
108544,12.0,11.855514369999998,106,254,426,0.2,0.0003,0.055377233773469925,1050,-0.0028882610145956277,0.0026674364,0.033984375,-0.28155353097245095,0.9953491687774658,0.1193570070900023,,
109568,12.0,11.794411300000002,107,256,427,0.2,0.0003,0.04462309181690216,1060,-0.001662776354351081,0.0028173313,0.023828125,-0.2761086931452155,0.9965445399284363,0.08943231992889196,,
110000,,,,,,0.2,0.0003,0.037420786917209625,1070,-0.0003620974559453316,0.0011454336,0.0109375,-0.270719978865236,0.996185839176178,0.09918547177221626,11.849032500000002,12.0
110592,12.0,11.89486089,108,258,427,,,,,,,,,,,,
111616,12.0,11.79080972,109,261,427,0.2,0.0003,0.03048754669725895,1080,-0.0005618098686682061,0.0015322715,0.01240234375,-0.2712937017902732,0.9964786171913147,0.09259677494410426,,
112640,12.0,11.92391823,110,263,427,0.2,0.0003,0.01989554986357689,1090,-0.002312787945265882,0.002347063,0.02470703125,-0.27282533468678594,0.9963975548744202,0.09423483484424651,,
113664,12.0,11.912162890000001,111,266,426,0.2,0.0003,0.039475925266742706,1100,-0.0019241383852204308,0.0019986627,0.01845703125,-0.2803205519914627,0.9965841174125671,0.09113491859752684,,
114688,12.0,11.7671706,112,268,427,0.2,0.0003,0.06068699061870575,1110,-0.0003299163421615958,0.0013284829,0.00732421875,-0.2760811225511134,0.9958759546279907,0.11081361980177462,,
115000,,,,,,0.2,0.0003,0.040341611951589584,1120,-0.0016628780693281441,0.0014554434,0.02705078125,-0.29902133587747814,0.9966861605644226,0.08510920845437794,11.66059335,12.0
115712,12.0,11.880787429999998,113,271,426,,,,,,,,,,,,
116736,12.0,11.885643600000002,114,273,426,0.2,0.0003,0.0480080209672451,1130,-0.0019367686996702104,0.001999903,0.0177734375,-0.2959397366270423,0.9965395331382751,0.09110373158473521,,
117760,12.0,11.84523353,115,276,426,0.2,0.0003,0.035066667944192886,1140,-0.0018956091749714687,0.0015180137,0.02724609375,-0.27913167849183085,0.9966515302658081,0.08991998420096933,,
118784,12.0,11.866234579999999,116,278,426,0.2,0.0003,0.0431816391646862,1150,-3.6785495467484e-05,0.0017055781,0.02041015625,-0.2919883934780955,0.995959460735321,0.10849554860033095,,
119808,12.0,11.882016239999999,117,281,425,0.2,0.0003,0.04176592454314232,1160,0.0001706282826489769,0.0011908317,0.00537109375,-0.27767964024096725,0.9967771768569946,0.08601587244775147,,
120000,,,,,,0.2,0.0003,0.03733760863542557,1170,-0.0012692020274698735,0.0016641314,0.0169921875,-0.2617245763540268,0.9972569346427917,0.07365053908433765,11.745058750000002,12.0
120832,12.0,11.86716191,118,284,425,,,,,,,,,,,,
121856,12.0,11.92450591,119,286,424,0.2,0.0003,0.030631866306066513,1180,-0.0016573495959164575,0.0011208586,0.02392578125,-0.2638117858208716,0.9963060617446899,0.09872632473707199,,
122880,12.0,11.78297414,120,289,424,0.2,0.0003,0.0410468652844429,1190,-0.00028883017803309484,0.00038291083,0.01552734375,-0.2755842385813594,0.9963600039482117,0.09769527516327799,,
123904,12.0,11.847098229999999,121,291,424,0.2,0.0003,0.04499538987874985,1200,-0.003288460306066554,0.0033341749,0.0326171875,-0.2645524942316115,0.996505618095398,0.09253758438862861,,
124928,12.0,11.885405999999998,122,293,425,0.2,0.0003,0.030260281637310982,1210,-0.0014801547979004682,0.0022904072,0.019921875,-0.2810966394841671,0.9971665740013123,0.07684980991762132,,
125000,,,,,,0.2,0.0003,0.05059468746185303,1220,-0.0014568200887879357,0.001510263,0.021875,-0.25718961767852305,0.9959408640861511,0.10910317921079696,11.96187695,12.0
125952,12.0,11.828020540000002,123,297,423,,,,,,,,,,,,
126976,12.0,11.854619439999999,124,300,423,0.2,0.0003,0.05014786496758461,1230,-0.0013003791362280026,0.0022062834,0.0134765625,-0.2445582333020866,0.9971233010292053,0.07860906603746116,,
128000,12.0,11.842139519999998,125,301,424,0.2,0.0003,0.0489746555685997,1240,-0.0012691247975453734,0.0027931142,0.01865234375,-0.22764185834676026,0.9965718388557434,0.09336403808556497,,
129024,12.0,11.84514062,126,303,425,0.2,0.0003,0.05609700456261635,1250,-0.0011609416251303628,0.0011596475,0.014453125,-0.25153413601219654,0.9965518712997437,0.09684385715518147,,
130000,,,,,,0.2,0.0003,0.046939462423324585,1260,-0.001645672382437624,0.0018145319,0.0197265625,-0.2650275274179876,0.9970219731330872,0.08242690113838762,11.687078,12.0
130048,12.0,11.864523539999999,127,306,424,,,,,,,,,,,,
131072,12.0,11.90155709,128,307,425,0.2,0.0003,0.025725960731506348,1270,-0.0008371392534172629,0.0018757691,0.03046875,-0.289498371258378,0.9963634014129639,0.10077498788014054,,
132096,12.0,11.848161860000003,129,310,425,0.2,0.0003,0.0584561862051487,1280,-0.002535230031935498,0.00270803,0.0275390625,-0.27325664181262255,0.99686199426651,0.08465733919292688,,
133120,12.0,11.83745275,130,313,425,0.2,0.0003,0.07058621197938919,1290,-0.002442122990032658,0.001626641,0.02607421875,-0.29056216962635517,0.9959622621536255,0.11301041771657765,,
134144,12.0,11.920413149999996,131,315,425,0.2,0.0003,0.037359364330768585,1300,-0.0005868672742508352,0.001914491,0.02197265625,-0.30545483231544496,0.9966163039207458,0.09471004351507872,,
135000,,,,,,0.2,0.0003,0.03440415859222412,1310,-0.0019219887297367677,0.0027682602,0.02724609375,-0.2951395240612328,0.9966984987258911,0.09101688815280795,11.9227248,12.0
135168,12.0,11.827321629999998,132,318,424,,,,,,,,,,,,
136192,12.0,11.71907662,133,320,424,0.2,0.0003,0.029679670929908752,1320,-0.0016003673837985844,0.0020590664,0.02412109375,-0.2900495775043964,0.9967917203903198,0.08736051945015788,,
137216,12.0,11.748208,134,323,424,0.2,0.0003,0.05179021134972572,1330,-3.389160556253046e-05,0.0022038203,0.0154296875,-0.27774699637666345,0.9969149827957153,0.08539483770728111,,
138240,12.0,11.841902869999998,135,325,424,0.2,0.0003,0.057148806750774384,1340,-0.0001896230285638012,0.0010744182,0.01103515625,-0.26770205264911057,0.9967353343963623,0.09331260074395686,,
139264,12.0,11.891407030000003,136,327,424,0.2,0.0003,0.044603381305933,1350,-0.0014990170035162008,0.0023357032,0.01953125,-0.2795336446724832,0.9975287318229675,0.07041670114267617,,
140000,,,,,,0.2,0.0003,0.03835904598236084,1360,-0.0018081401474773883,0.0023012462,0.02294921875,-0.2940897509455681,0.9973219037055969,0.07568488172255457,12.000793550000001,12.0
140288,12.0,11.893149090000001,137,330,425,,,,,,,,,,,,
141312,12.0,11.804156820000003,138,333,423,0.2,0.0003,0.03906243294477463,1370,-0.0016338448811438866,0.001870277,0.01357421875,-0.28113803043961527,0.9967916011810303,0.09090795645024627,,
