decile,mean_cate,marg_rev_cr,marg_cost_cr,marg_rev_to_cost
1,0.25021201152544204,50.84367856843067,1.6135303940900778,31.51082790547808
2,0.2142660784471221,43.5425657452145,1.4249281968634226,30.55772623565256
3,0.19554784213498302,39.73869701730984,1.3266552985937294,29.954048394811625
4,0.18280055216680755,37.14550896192986,1.259638363498849,29.489026404969287
5,0.1711006812693821,34.77061192895104,1.198304886051391,29.01649850024884
6,0.15909725273768568,32.33130805128027,1.135285502637691,28.47857034742591
7,0.14818627227215758,30.111804584143336,1.0779227039371522,27.935031402677453
8,0.13516411413325025,27.46768115930754,1.0096337662172645,27.205588876270536
9,0.12020861921898468,24.428466434904315,0.9311156940135602,26.23569400877111
10,0.08668528646079274,17.615946547476085,0.7551143328345489,23.32884674741814
