maturation_qtr,margin_slope,capex_per_store,new_store_density,reached_breakeven,quarters_to_breakeven,aggressive_quarters_to_breakeven,final_margin
1.8606529413841892,9.228275898954363e-05,1.7459535799234445,413.2734702912387,1,2.0,4.5,0.05
2.67089935117362,7.768667645000185e-05,1.293849256680589,363.9584491435794,1,3.5,99.0,0.03190953801708529
1.7097011419148092,9.45300831214724e-05,2.00191658295755,393.88675297463567,1,1.75,3.75,0.05
3.3824444494456802,6.26828824121916e-05,2.3140739522161886,345.69076641883225,1,6.0,99.0,0.013338740912062701
1.8442653825771438,7.074997397748832e-05,2.0767343131083518,400.3787907396541,1,2.75,10.5,0.03598280986925664
2.314591944832225,0.00012114763087849316,1.1542811587387716,489.779424399286,1,1.75,3.25,0.05
2.7166249989970597,7.506968435110748e-05,1.770046966753222,328.58952889600045,1,3.75,99.0,0.029211454289475084
1.9374668754686106,0.00011526033233989357,1.7916755523534862,368.350643354036,1,1.75,3.5,0.05
1.201886373237222,8.019926233767853e-05,2.24434776713973,437.64278731612336,1,1.5,2.5,0.05
2.6228690077528833,0.0001359517832419631,0.9688370212587326,365.82820989060554,1,1.75,4.25,0.05
2.991347616865946,5.168244038893911e-05,0.9945114353615954,473.39518682998175,1,6.5,99.0,0.01044842315806144
3.5764095442603234,6.471719334316072e-05,1.034588921545987,412.9850017878814,1,5.75,99.0,0.0142291073597875
3.8265003248897176,6.815510991841232e-05,0.9420339289517605,469.1545741818706,1,5.75,99.0,0.014619890360565626
1.4961023397434654,0.0001156677349535254,0.9628556460646281,438.65764434410806,1,1.25,1.75,0.05
2.7396619358219385,6.459982557806954e-05,1.7533264357232619,494.54294300778304,1,4.5,99.0,0.02164569863836242
1.3503940638298515,0.00011196999073008514,1.9769215073234343,453.4389833095949,1,1.25,1.75,0.05
3.1632304027488067,0.00012517783814856024,2.4326347498443672,388.6871977804748,1,2.5,99.0,0.05
2.2279326880447914,3.826669704583769e-05,0.8737863083303208,422.32921263911885,1,7.25,99.0,0.006465798478714119
2.468780858416923,8.8797471777193e-05,1.8880585879792844,447.76088023698406,1,2.75,99.0,0.04252203050042756
3.303221684652645,0.00010779544466757154,2.4717755829691668,443.51275600311305,1,3.0,99.0,0.04457079009934074
2.157353818075646,9.235753586084762e-05,0.8499071225464562,376.05578155490525,1,2.25,4.75,0.049399856553073246
1.7766140388500877,7.292527509331939e-05,1.993873659783406,387.98047895882183,1,2.5,9.0,0.038520551131726116
1.9158296557036167,0.00011176049307785952,2.481750424888234,316.3888596903809,1,1.75,6.0,0.05
2.110002491061512,8.469593815285408e-05,0.894037971476459,466.0470047382843,1,2.5,4.75,0.04426033780465295
2.6122809765642208,8.976600134814534e-05,1.5099927364682961,455.17188920852414,1,3.0,99.0,0.041518844867107565
3.1248185135411215,0.00011170356226490785,1.9377301405782417,467.6635271222781,1,2.75,99.0,0.049856821953183486
2.6557587607993516,0.00010623412491691144,1.1417440004992394,421.2597020032847,1,2.5,9.0,0.05
1.6004528910871638,8.103641164330751e-05,2.3913900898524956,328.97802402646187,1,2.0,6.5,0.04711301566609802
2.8811829534463143,0.00013724061857080898,1.1261188965910875,380.34046286224395,1,2.0,6.5,0.05
2.5047284900652365,6.702388528995481e-05,0.7169616347770712,480.69408345000465,1,3.75,12.0,0.026327682363442937
2.74005225752542,3.326304554450546e-05,0.9572710576480917,352.6069287595347,1,11.5,99.0,0.0005815907699689912
1.399427080123507,5.782585405481657e-05,1.7852549944857676,302.1348217854041,1,2.5,8.5,0.029529009889742264
1.2445561188342642,8.601065832846707e-05,0.7710581509133453,433.3393880215111,1,1.5,2.0,0.05
2.385313546603453,0.00013699467955178283,1.6241883976054143,441.03341589308536,1,1.75,3.75,0.05
2.66713420049882,0.00011025251324215288,0.809989004354943,379.3987640508768,1,2.25,5.75,0.05
3.5183150172081277,0.00013294079394288348,1.020812959767813,360.75855820134444,1,2.5,99.0,0.05
1.779740760136781,0.0001154477368628684,1.6061862757717922,308.20375154555796,1,1.5,2.75,0.05
3.484337034211819,4.874163057237062e-05,1.5809306621615338,498.9103916164869,1,8.25,99.0,0.005415324341448733
3.073801901126934,7.519345989449576e-05,1.3437378894516865,332.10694065082976,1,4.25,99.0,0.025618412417668265
2.8362579405279056,7.621406793593837e-05,0.861635853501499,426.9539925244094,1,3.75,99.0,0.029337193302192425
1.5236425737963466,0.00012474366824316403,1.6046804344208923,499.2119967396725,1,1.25,1.75,0.05
3.3471871772317114,0.00011607393521513283,2.4314133609435045,327.4304003115523,1,2.75,99.0,0.048939741713972904
1.0121921704490133,0.0001190836034946228,1.9790025735283368,454.365167054296,1,1.0,1.0,0.05
3.2350904962278615,0.00011805537829060687,2.4484441068783824,352.9111154256999,1,2.75,99.0,0.05
2.4324100285162116,0.00011268931584620056,1.374153245481848,403.66681940734503,1,2.0,6.25,0.05
1.1943814668582666,6.446015451130082e-05,2.3036192479258704,388.0886486324661,1,2.0,4.0,0.036982385607448265
3.434214911104667,4.122477402438429e-05,1.275788488460921,322.46832061362284,1,10.5,99.0,0.0017198098995431649
2.688328277392839,5.6896098895832636e-05,1.6668489976578398,422.8871093621435,1,5.0,99.0,0.016195527467475632
3.3458629123698334,7.838861936879823e-05,1.7017538210883452,474.8985421184532,1,4.25,99.0,0.025155718353645985
1.2927689024622366,3.6925540034754555e-05,2.0548802346341457,377.99597914282435,1,4.25,99.0,0.011794457171675859
2.728144142849458,7.690554675335857e-05,1.9881332318641391,423.083848671613,1,3.5,99.0,0.030543352557129404
1.0248318771805238,0.00011800567047085468,0.995209220824345,384.2338826317522,1,1.0,1.0,0.05
1.7931581573370319,0.00011638930520886484,1.5410585272166164,311.2046319551167,1,1.5,2.75,0.05
1.2344218506757585,9.851066817641227e-05,1.5400846824525456,311.7955438620808,1,1.25,1.75,0.05
1.1434454238896783,8.903299439721618e-05,1.78137245414116,394.2428643912493,1,1.25,1.75,0.05
1.120996470310491,4.9498091606771166e-05,1.8159693350126687,410.9353014829312,1,2.5,5.75,0.024396845391356264
2.326295113271126,0.00010685253941853622,2.3937817053714485,325.0471484723267,1,2.25,99.0,0.05
2.276799312989349,0.00010630868354463645,1.4980987640171066,393.2156720891485,1,2.0,6.5,0.05
2.056424870399875,0.00011378630661113704,1.3656428680237653,302.80004495260744,1,1.75,4.0,0.05
3.599886418924273,8.727194698291198e-05,2.0585252500794526,357.9516493728381,1,4.25,99.0,0.027717300666207572
3.1104465597923374,8.548160837272049e-05,1.750493337428253,477.2359202233024,1,3.75,99.0,0.03247010522279828
1.699973849732868,3.158327326916124e-05,0.7463408990127939,306.10740197074153,1,7.5,99.0,0.004687857053442178
3.3011048974472157,9.173836515995273e-05,1.1889802485809868,463.04894102612377,1,3.5,99.0,0.03471944100613117
3.719114359464787,8.720164076594071e-05,1.3132765505991972,315.0346388039031,1,4.25,99.0,0.02677950330486085
1.261246911726373,8.20860027090144e-05,1.629235059125099,394.336178435084,1,1.5,2.25,0.05
1.0595047209920239,0.00010970176339249475,1.250856434128663,427.6267791719545,1,1.0,1.25,0.05
3.775346018687992,5.462270757278408e-05,2.249263781692276,473.0342610381162,1,7.75,99.0,0.0064820141339437705
